,last_sg,last_pl,last_sg/last_pl,pair_count,sg_prob,pl_prob,P(pl|sg),P(sg|pl)
25835,e,n,e/n,10969,0.19372209088521145,0.4814978986078277,0.9295762711864407,0.3739984315864844
33551,r,r,r/r,6265,0.14404386656159707,0.1385441292356186,0.7140414862092546,0.7423865386894182
31346,n,n,n/n,6219,0.13430851063829788,0.4814978986078277,0.7601760176017601,0.212042688124382
39575,g,n,g/n,3852,0.09433280798529026,0.4814978986078277,0.6703793943612948,0.13133758396126702
56179,t,e,t/e,3369,0.12376871552403468,0.26938862621486737,0.44687624353362515,0.205314156865135
53188,t,n,t/n,3153,0.12376871552403468,0.4814978986078277,0.41822522881018703,0.10750451771284394
57552,g,e,g/e,1746,0.09433280798529026,0.26938862621486737,0.3038635572572224,0.10640502163446888
59878,r,n,r/n,1401,0.14404386656159707,0.4814978986078277,0.1596763163893321,0.04776842033482219
49107,l,e,l/e,1379,0.06112096138691883,0.26938862621486737,0.37040021488047276,0.08403924675482967
44115,n,e,n/e,1338,0.13430851063829788,0.26938862621486737,0.16354968830216354,0.08154061795356207
45970,l,l,l/l,1333,0.06112096138691883,0.021884029419490414,0.35804458769809294,1.0
20801,s,e,s/e,1264,0.03935185185185185,0.26938862621486737,0.5273258239465999,0.07703089767810348
37776,h,e,h/e,1086,0.027055424218544784,0.26938862621486737,0.6589805825242718,0.06618319215064904
34957,m,e,m/e,997,0.0312746256895193,0.26938862621486737,0.5233595800524934,0.06075933938692181
60680,d,e,d/e,913,0.028779222484896245,0.26938862621486737,0.5208214489446663,0.05564019745261747
49810,r,e,r/e,900,0.14404386656159707,0.26938862621486737,0.10257579211306132,0.054847949296117984
45067,f,e,f/e,835,0.01607236669293407,0.26938862621486737,0.8529111338100103,0.05088670851362057
5746,k,e,k/e,803,0.024379432624113476,0.26938862621486737,0.5407407407407407,0.04893655920531416
36495,l,n,l/n,800,0.06112096138691883,0.4814978986078277,0.21488047273704003,0.02727675679361724
37186,z,e,z/e,676,0.016827554504859468,0.26938862621486737,0.6595121951219513,0.04119690413797306
53928,d,r,d/r,612,0.028779222484896245,0.1385441292356186,0.34911580148317173,0.07252044081052257
57067,m,n,m/n,512,0.0312746256895193,0.4814978986078277,0.26876640419947506,0.017457124347915035
32680,t,s,t/s,493,0.12376871552403468,0.07136524822695035,0.06539328823451386,0.11341154819415689
44222,t,r,t/r,489,0.12376871552403468,0.1385441292356186,0.06486271388778353,0.057945254177035194
54563,e,s,e/s,487,0.19372209088521145,0.07136524822695035,0.04127118644067797,0.11203128594432943
57545,o,s,o/s,472,0.01012936695560809,0.07136524822695035,0.7649918962722853,0.10858063031976076
1700,s,n,s/n,466,0.03935185185185185,0.4814978986078277,0.19440967876512308,0.015888710832282042
29410,a,s,a/s,426,0.015366430260047281,0.07136524822695035,0.4551282051282051,0.09799861973775018
6050,k,n,k/n,378,0.024379432624113476,0.4814978986078277,0.2545454545454545,0.012888267584984145
